Qubit,Frequency,T1,T2,ReadoutError,SQError,TQError,Readout length (ns),Gate time (ns),Operational
0,4.721866535,278.6208133,65.80739827,0.0262,0.0001961413085,,4000,,TRUE
1,4.815125526,250.8359451,249.9177335,0.0257,0.0001390148586,1_0:0.017671366073595096,4000,1_0:660,TRUE
2,4.609655562,174.0883332,247.7844623,0.0163,0.0001952864722,2_1:0.008644540424665087,4000,2_1:660,TRUE
3,4.875544004,265.4076348,235.2077587,0.0222,0.0001730525105,3_2:0.0066572605698366205,4000,3_2:660,TRUE
4,4.818124481,282.1948086,204.8392571,0.0145,0.0001204532456,4_5:0.012109086985429701;4_3:0.004981406510880831;4_15:0.004864111959271167,4000,4_5:660;4_3:660;4_15:660,TRUE
5,4.734137743,241.708995,264.9236857,0.0057,0.0001707168243,,4000,,TRUE
6,4.876263418,309.1865779,50.13271871,0.0095,0.0009056918192,6_7:0.005810400571444219;6_5:0.004950645834681466,4000,6_7:660;6_5:660,TRUE
7,4.967501465,370.549188,357.9864402,0.0227,0.0003571303054,7_8:0.007070007813789442,4000,7_8:660,TRUE
8,4.902343204,344.2617116,230.5466449,0.0107,0.0001505783253,8_9:0.011639410457110116,4000,8_9:660,TRUE
9,4.987237894,250.2968876,111.2458014,0.0077,0.0002293269386,,4000,,TRUE
10,4.831537057,264.3776903,169.5527439,0.0157,0.0002511333926,10_11:0.004641250284009912;10_9:0.006924939199244501,4000,10_11:660;10_9:660,TRUE
11,4.972291417,354.8950239,233.0834475,0.133,0.0002054500929,11_12:0.003694510772123405,4000,11_12:660,TRUE
12,4.936322561,250.4139671,146.0962008,0.0141,0.0001719717855,12_17:0.01229127058127899,4000,12_17:660,TRUE
13,5.005803219,272.5004751,90.77225975,0.0173,0.0002304662631,13_12:0.006556591952591617,4000,13_12:660,TRUE
14,4.90334653,303.1693474,105.4384111,0.0185,0.000158362268,14_0:0.005560767111661702;14_18:0.006955072273549079,4000,14_0:660;14_18:660,TRUE
15,4.947921392,265.4019742,45.80799963,0.0115,0.0004725500845,15_22:0.02204236246195626,4000,15_22:660,TRUE
16,4.96033241,262.6391939,16.141725,0.0176,0.0002379246317,16_26:0.006420033460741714;16_8:0.00580207785858583,4000,16_26:660;16_8:660,TRUE
17,4.82081547,239.7029035,188.8945881,0.014,0.000157310208,17_30:0.006122792227557017,4000,17_30:660,TRUE
18,4.788252907,168.5691118,76.90279333,0.0838,0.0005412709849,18_19:0.005845774812963778,4000,18_19:660,TRUE
19,4.747003288,292.0302154,91.81815055,0.0577,0.0002451177689,,4000,,TRUE
20,4.862339592,176.9350235,168.9668197,0.0109,0.0002362666872,20_33:0.03046905024159341;20_19:0.007681999485731894,4000,20_33:660;20_19:660,TRUE
21,4.966461039,207.2112069,112.4224128,0.0077,0.0001980841174,21_20:0.005754961748584864;21_22:0.016238812402877528,4000,21_20:660;21_22:660,TRUE
22,5.038190559,247.9398188,188.2751813,0.0111,0.0006769925071,22_23:0.0584293340815604,4000,22_23:660,TRUE
23,4.844973333,166.5614364,168.07039,0.0105,0.0002121197628,,4000,,TRUE
24,5.100784058,177.4662418,101.2936725,0.206,0.0002614348053,24_34:0.00852199497179415;24_23:0.005661103088163005,4000,24_34:860;24_23:660,TRUE
25,4.945157584,240.5205331,193.6228635,0.009,0.0002305295935,25_24:0.007475617133301693,4000,25_24:660,TRUE
26,4.854111184,213.0784004,151.9918192,0.0065,0.0002176629987,26_25:0.01210240573318247,4000,26_25:660,TRUE
27,4.747622384,152.9848085,208.7067945,0.0527,0.0001868456084,27_26:0.007096973786231864,4000,27_26:660,TRUE
28,4.99441591,183.6237402,72.45694841,0.0258,0.0003267881442,28_35:0.00916126344790577;28_27:0.010065265959654929;28_29:0.009206823969876043,4000,28_35:660;28_27:660;28_29:660,TRUE
29,4.628640959,192.6946312,236.7413282,0.0224,0.00009148835863,,4000,,TRUE
30,4.73297821,269.5362438,63.09796479,0.0082,0.0003042057402,30_31:0.006796492457182196;30_29:0.00707593867929629,4000,30_31:660;30_29:660,TRUE
31,4.797664345,148.9019377,78.13409021,0.0047,0.0001945542845,31_32:0.012676870309140942,4000,31_32:660,TRUE
32,4.910391225,147.146838,169.0139612,0.0094,0.0004683667826,32_36:0.006150718339735711,4000,32_36:660,TRUE
33,4.973183602,268.4467761,102.0837102,0.0104,0.0002385741542,33_39:0.00738384926625929,4000,33_39:660,TRUE
34,4.678647061,251.9685906,127.3446761,0.0318,0.000135303451,34_43:0.012271037092679071,4000,34_43:660,TRUE
35,4.907602918,168.6913446,168.0475257,0.0156,0.0003359321188,35_47:0.0063707848412723755,4000,35_47:660,TRUE
36,4.812262944,277.8123873,159.9860072,0.0125,0.0002693026023,36_51:0.005304975154357933,4000,36_51:660,TRUE
37,4.837912283,289.2819811,78.16239107,0.0092,0.0001562673298,37_38:0.005829432010821534,4000,37_38:660,TRUE
38,4.77668661,262.7698645,151.403583,0.0292,0.000445145933,,4000,,TRUE
39,4.917367706,168.8427573,106.4493293,0.0149,0.0009445263404,39_38:0.012645204975871294,4000,39_38:660,TRUE
40,4.868154248,165.5804155,22.8425625,0.0122,0.0001769900315,40_41:0.006567819014251353;40_39:0.008024511099596121,4000,40_41:660;40_39:660,TRUE
41,4.935538073,152.9266392,223.9061689,0.0109,0.0001353344106,41_53:0.005269843441880834,4000,41_53:660,TRUE
42,5.063960089,172.1687394,43.05131377,0.0106,0.000776938166,42_41:0.010833878003330633;42_43:0.006798129321221508,4000,42_41:660;42_43:660,TRUE
43,4.829419898,214.3284467,133.4590392,0.023,0.001111620585,43_44:0.010382990751487992,4000,43_44:660,TRUE
44,4.94916188,215.757115,19.68667754,0.0176,0.000373830161,44_45:0.006551199495849314,4000,44_45:660,TRUE
45,4.999486279,209.5055896,28.25935514,0.0357,0.001156831367,,4000,,TRUE
46,4.853161521,228.617327,140.5954586,0.0121,0.0004685944475,46_45:0.015610327231562637;46_47:0.014821549104480108,4000,46_45:660;46_47:660,TRUE
47,4.769538424,158.7644372,153.6056834,0.0087,0.0001859760584,,4000,,TRUE
48,4.844167542,165.0099441,71.05675926,0.0147,0.0002848959708,48_47:0.00660595842855255;48_49:0.012900059671297481,4000,48_47:660;48_49:660,TRUE
49,4.697340231,284.4322873,44.84606558,0.0075,0.0006394266443,,4000,,TRUE
50,4.784042276,290.3690622,36.7303821,0.0124,0.0008212009313,50_51:0.01027572259018622;50_49:0.02284856241809291,4000,50_51:660;50_49:660,TRUE
51,4.931200072,226.6913345,242.7867492,0.0121,0.0002126387693,,4000,,TRUE
52,4.91525523,200.882727,156.1398069,0.0081,0.000560592566,52_37:0.007544952521308129;52_56:0.009022470990547066,4000,52_37:660;52_56:660,TRUE
53,4.996715921,128.1745288,184.9032538,0.0119,0.0003905607675,53_60:0.005288158390311742,4000,53_60:660,TRUE
54,4.969611054,192.7971101,116.4050906,0.0186,0.0004256700718,54_45:0.01630954627969869;54_64:0.015207439439148929,4000,54_45:660;54_64:660,TRUE
55,4.837201473,313.5374422,108.8140795,0.0129,0.0002227927676,55_49:0.016888923100440656;55_68:0.01571434450353318,4000,55_49:660;55_68:660,TRUE
56,4.814536027,250.4495088,200.9392506,0.0086,0.0001537368977,56_57:0.008340473861354641,4000,56_57:660,TRUE
57,4.927647214,224.544766,141.9299157,0.0108,0.0001929371996,57_58:0.007076605915365852,4000,57_58:660,TRUE
58,4.886913504,147.1893296,61.53458089,0.0093,0.0001864852906,58_71:0.004595708808961846;58_59:0.006058932062679323,4000,58_71:660;58_59:660,TRUE
59,4.971240576,156.4442326,53.39896449,0.0229,0.0002431368048,59_60:0.00577847827403935,4000,59_60:660,TRUE
60,4.766216196,283.9477193,100.3374729,0.0199,0.0004821964968,60_61:0.01766594487983461,4000,60_61:660,TRUE
61,4.793921958,377.9532894,127.5789068,0.0195,0.0004099030685,,4000,,TRUE
62,4.935217559,236.362258,178.0498345,0.0113,0.000459049385,62_61:0.008722954370720293;62_63:0.00807358422219931;62_72:0.00674559611331399,4000,62_61:660;62_63:660;62_72:660,TRUE
63,5.041632267,208.3400572,201.5540399,0.0116,0.0001856984792,63_64:0.006820899348020437,4000,63_64:660,TRUE
64,4.821572476,268.6680965,157.3801356,0.0104,0.0001623211653,,4000,,TRUE
65,4.957172378,216.9000722,89.11064724,0.0091,0.0001989002493,65_64:0.006816492903469307;65_66:0.0062506702554490645,4000,65_64:660;65_66:660,TRUE
66,4.885001455,275.5727108,160.2065494,0.0116,0.0001870972051,,4000,,TRUE
67,5.113933305,202.145676,138.1675448,0.0639,0.0002919124168,67_66:0.0065764214937510945;67_68:0.015775968467797885,4000,67_66:660;67_68:660,TRUE
68,4.743744722,167.0393826,31.67594924,0.0413,0.0002245094434,,4000,,TRUE
69,5.117726906,230.3867036,156.4409422,0.0114,0.0004130863288,69_68:0.014754532201008919;69_70:0.011957409526005658,4000,69_68:660;69_70:660,TRUE
70,4.898864421,151.9054148,145.551464,0.0773,0.000291533095,,4000,,TRUE
71,4.788270944,236.7018766,288.7071551,0.0131,0.0001398653297,,4000,,TRUE
72,5.059174079,200.5684997,123.2341208,0.0124,0.0002582442589,,4000,,TRUE
73,4.97956547,333.5558861,242.8288179,0.0099,0.0002717094083,73_66:0.007201197219591393,4000,73_66:660,TRUE
74,5.031457584,158.0647979,111.3121344,0.0283,0.0004143042098,74_70:0.010287788662941305;74_89:0.008615739083310425,4000,74_70:660;74_89:660,TRUE
75,5.006127286,138.1153071,64.51087385,0.0068,0.0003077804849,75_90:0.019153716291704287,4000,75_90:660,TRUE
76,4.837355094,125.9390164,63.24142633,0.0087,0.0001278523429,76_75:0.007898898948125843,4000,76_75:660,TRUE
77,5.041927225,246.5783144,75.4163692,0.0421,0.0003895047646,77_78:0.023353124051745056;77_71:0.00824399186612218;77_76:0.007007850528759796,4000,77_78:780;77_71:660;77_76:660,TRUE
78,4.64354792,258.054114,215.7734073,0.0072,0.0003302624452,,4000,,TRUE
79,4.863151612,251.5664254,54.62075823,0.0068,0.0001514759558,79_80:0.006187783533751073;79_78:0.0066577613092151655,4000,79_80:660;79_78:660,TRUE
80,5.031479996,147.2106297,156.5887958,0.0175,0.0002245137542,80_81:0.008235086615537929,4000,80_81:660,TRUE
81,4.930441348,72.49529579,67.62237274,0.0358,0.0003435084408,81_82:0.007276889351265359;81_72:0.006554524344893897,4000,81_82:660;81_72:660,TRUE
82,4.893608608,316.7007077,311.7464199,0.0161,0.0001750931669,82_83:0.00628191516416618,4000,82_83:660,TRUE
83,4.7906932,68.5018806,64.6690558,0.0128,0.000383903259,83_92:0.0076745601054016566,4000,83_92:660,TRUE
84,4.679678805,270.0002554,101.7994802,0.0077,0.0001559921254,84_83:0.006486259327376009,4000,84_83:660,TRUE
85,5.104777983,182.0631619,201.4216921,0.0132,0.0002315358628,85_84:0.008173374703681346;85_73:0.005346123444799067;85_86:0.013234753936180926,4000,85_84:1100;85_73:660;85_86:660,TRUE
86,4.898809857,168.3857238,110.7258295,0.0551,0.0007667369722,86_87:0.039712672197929066,4000,86_87:660,TRUE
87,4.992093546,78.45250816,29.81189204,0.0289,0.001103214049,87_88:0.015200135455346542,4000,87_88:660,TRUE
88,5.09937829,258.3991051,134.7670199,0.0092,0.0002555620573,88_89:0.008767723730403104,4000,88_89:660,TRUE
89,4.956489338,399.8701412,203.9626747,0.011,0.0001328065309,,4000,,TRUE
90,4.905601874,186.3999956,61.69839561,0.0083,0.001332299791,,4000,,TRUE
91,4.914624914,141.7920643,156.5047502,0.0393,0.000481236587,91_79:0.006575484732757486,4000,91_79:660,TRUE
92,4.912104246,181.4928633,130.2118313,0.0093,0.0001848140777,92_102:0.006655816375535389,4000,92_102:660,TRUE
93,4.964113426,139.2809696,98.77694077,0.0273,0.0004414627757,93_87:0.0224103362140054;93_106:0.010248768541874259,4000,93_87:740;93_106:660,TRUE
94,4.975831089,122.7271875,139.7137194,0.0119,0.000301783338,94_90:0.018930785019533658;94_95:0.011138783652432288,4000,94_90:660;94_95:660,TRUE
95,4.838913165,272.6390334,134.4623046,0.0147,0.001053646159,95_96:0.009227095016575787,4000,95_96:660,TRUE
96,4.747936719,115.3156539,90.14339286,0.0421,0.000246781901,,4000,,TRUE
97,4.816195397,245.6020022,94.82620559,0.0092,0.0002865815169,97_98:0.007663618236037395;97_96:0.006681924097413916,4000,97_98:660;97_96:660,TRUE
98,4.942906064,147.4911081,26.63297695,0.0137,0.0005431147925,98_91:0.01636802493542605,4000,98_91:660,TRUE
99,5.060110619,149.1783482,140.1937684,0.0086,0.0002379791769,99_98:0.007261114357771714,4000,99_98:660,TRUE
100,4.905290607,90.43547202,130.1710028,0.0149,0.0007326228111,100_99:0.022528115317642677;100_110:0.021083416340042488,4000,100_99:660;100_110:660,TRUE
101,5.065320031,280.1779872,239.6243405,0.0229,0.0003053829239,101_102:0.0055419267205306655;101_100:0.013370419481382068,4000,101_102:660;101_100:660,TRUE
102,4.809833135,229.6235704,183.8517527,0.0391,0.000141923167,102_103:0.009734370605065018,4000,102_103:660,TRUE
103,4.933461169,181.7115013,111.7947518,0.0099,0.0002401240955,,4000,,TRUE
104,4.765560502,219.9425562,174.8328592,0.023,0.0001690990671,104_103:0.006818283003511477,4000,104_103:660,TRUE
105,4.982256986,206.7603132,95.61420843,0.0066,0.0002628247306,105_106:0.0061585870089718164;105_104:0.0061347274465128054,4000,105_106:660;105_104:660,TRUE
106,4.878180139,262.4863944,160.1899267,0.0222,0.000231125045,,4000,,TRUE
107,4.916038404,269.673116,166.2241272,0.0198,0.0002006566186,107_106:0.005164166955397481,4000,107_106:660,TRUE
108,5.056322924,207.4782031,173.0826587,0.0255,0.0003088242989,108_107:0.011052362266254112;108_112:0.007510452288172986,4000,108_107:660;108_112:660,TRUE
109,4.984954684,184.0523837,161.3193566,0.0258,0.0002655829968,109_96:0.008036723236660048,4000,109_96:660,TRUE
110,4.830177514,204.4437313,353.7064228,0.0117,0.0002322047869,110_118:0.008488630984305301,4000,110_118:660,TRUE
111,4.853178259,246.7991482,220.9409543,0.012,0.0001527594089,111_104:0.005357137868259115,4000,111_104:660,TRUE
112,5.002389446,201.9084546,67.93807064,0.0075,0.0002392208604,112_126:0.007538612072680667,4000,112_126:660,TRUE
113,5.032000028,202.5422657,237.5640199,0.0058,0.0002649789989,113_114:0.008588692761067024,4000,113_114:660,TRUE
114,4.822468808,239.3114736,55.79502219,0.1379,0.0002395208617,114_115:0.009090281618142237;114_109:0.007799883872409041,4000,114_115:660;114_109:660,TRUE
115,5.028016904,135.40637,84.1811861,0.0119,0.0007641039772,,4000,,TRUE
116,4.91274093,241.8476248,266.9194051,0.01,0.0002208225167,116_117:0.008759614916482056;116_115:0.00991365983835052,4000,116_117:660;116_115:660,TRUE
117,4.833104823,343.3371754,109.4484939,0.015,0.0005808083427,117_118:0.010418179054207555,4000,117_118:660,TRUE
118,4.732983119,152.4473087,147.5887274,0.0081,0.0004912866889,118_119:0.009854657472501027,4000,118_119:660,TRUE
119,4.802613399,122.9620774,57.30376791,0.2773,0.0007757766443,,4000,,TRUE
120,4.836616425,234.2646208,96.29526992,0.1528,0.0004627325759,120_119:0.011953188428841272,4000,120_119:660,TRUE
121,4.967923861,137.0224323,141.0048977,0.0207,0.0006419964277,121_120:0.00845303638271469,4000,121_120:660,TRUE
122,4.937570485,139.2624064,152.8030753,0.0189,0.0004124243711,122_111:0.007841686355538391;122_123:0.008853235903188372;122_121:0.0146611102629233,4000,122_111:660;122_123:660;122_121:660,TRUE
123,5.034385487,218.1448862,150.7764097,0.013,0.0002152421186,,4000,,TRUE
124,4.949161269,190.7041853,152.3400982,0.0083,0.0003602083148,124_123:0.006630494104859885,4000,124_123:660,TRUE
125,4.859128464,209.5057755,199.8191487,0.0174,0.0001559883959,125_126:0.00786349859308369;125_124:0.0052631583167446205,4000,125_126:660;125_124:660,TRUE
126,4.908201719,585.7134195,171.0874152,0.0078,0.0002168352239,,4000,,TRUE